name,symbol,sector,exchange,country
20 Microns Ltd.,20MICRONS,Mining/minerals,NSE,India
360 One Wam Ltd.,360ONE,Asset Management,NSE,India
3M India Ltd.,3MINDIA,Diversified,NSE,India
3P Land Holdings Ltd.,3PLAND,Real Estate,NSE,India
3i Infotech Ltd.,3IINFOLTD,It Services & Consulting,NSE,India
5Paisa Capital Ltd.,5PAISA,Investment Banking & Brokerage Services,NSE,India
63 Moons Technologies Ltd.,63MOONS,It Services & Consulting,NSE,India
A2Z Infra Engineering Ltd.,A2ZINFRA,Construction & Engineering,NSE,India
AAA Technologies Ltd.,AAATECH,It Services & Consulting,NSE,India
ABB India Ltd.,ABB,Heavy Electrical Equipment,NSE,India
ABM International Ltd.,ABMINTLLTD,Trading & Distribution,NSE,India
ACC Ltd.,ACC,Cement,NSE,India
ADF Foods Ltd.,ADFFOODS,Food Products,NSE,India
AGI Greenpac Ltd.,AGI,Construction Supplies & Fixtures,NSE,India
AGS Transact Technologies Ltd.,AGSTRA,Credit Rating Agencies,NSE,India
AIA Engineering Ltd.,AIAENG,"Industrial Machinery, Equipment & Goods",NSE,India
AJR Infra and Tolling Ltd.,AJRINFRA,Construction & Engineering,NSE,India
AKG Exim Ltd.,AKG,Trading & Distribution,NSE,India
AMD Industries Ltd.,AMDIND,Packaging,NSE,India
AMJ Land Holdings Ltd.,AMJLAND,Real Estate,NSE,India
APL Apollo Tubes Ltd.,APLAPOLLO,Tubes & Pipes,NSE,India
ARSS Infrastructure Projects Ltd.,ARSSINFRA,Construction & Engineering,NSE,India
ART Nirman Ltd.,ARTNIRMAN,Construction & Engineering,NSE,India
ASK Automotive Ltd.,ASKAUTOLTD,Auto Ancillaries,NSE,India
AVG Logistics Ltd.,AVG,Logistics,NSE,India
AVT Natural Products Ltd.,AVTNPL,Edible Oils & Solvent Extraction,NSE,India
AXISCADES Technologies Ltd.,AXISCADES,Software Services,NSE,India
AYM Syntex Ltd.,AYMSYNTEX,Textiles,NSE,India
Aakash Exploration Services Ltd.,AAKASH,Oil & Gas - Equipment & Services,NSE,India
Aarey Drugs & Pharmaceuticals Ltd.,AAREYDRUGS,Pharmaceuticals,NSE,India
Aaron Industries Ltd.,AARON,Heavy Electrical Equipment,NSE,India
Aartech Solonics Ltd.,AARTECH,Power - Construction/equipment,NSE,India
Aarti Drugs Ltd.,AARTIDRUGS,Pharmaceuticals,NSE,India
Aarti Industries Ltd.,AARTIIND,Speciality Chemicals,NSE,India
Aarti Pharmalabs Ltd.,AARTIPHARM,Speciality Chemicals,NSE,India
Aarti Surfactants Ltd.,AARTISURF,Speciality Chemicals,NSE,India
Aarvee Denims and Exports Ltd.,AARVEEDEN,Apparels,NSE,India
Aarvi Encon Ltd.,AARVI,Employment Services,NSE,India
Aavas Financiers Ltd.,AAVAS,Housing Finance,NSE,India
Aban Offshore Ltd.,ABAN,Oil & Gas - Equipment & Services,NSE,India
Abans Holdings Ltd.,AHL,Finance & Investments,NSE,India
Abbott India Ltd.,ABBOTINDIA,Pharmaceuticals,NSE,India
Accelya Solutions India Ltd.,ACCELYA,Software Services,NSE,India
Accuracy Shipping Ltd.,ACCURACY,Logistics,NSE,India
Ace Integrated Solutions Ltd.,ACEINTEG,Credit Rating Agencies,NSE,India
Action Construction Equipment Ltd.,ACE,Engineering - Heavy,NSE,India
Adani Energy Solutions Ltd.,ADANIENSOL,Power - Generation/distribution,NSE,India
Adani Enterprises Ltd.,ADANIENT,Trading & Distribution,NSE,India
Adani Green Energy Ltd.,ADANIGREEN,Power - Generation/distribution,NSE,India
Adani Ports & Special Economic Zone Ltd.,ADANIPORTS,Shipping,NSE,India
Adani Power Ltd.,ADANIPOWER,Power - Generation/distribution,NSE,India
Adani Total Gas Ltd.,ATGL,Gas Distribution,NSE,India
Adani Wilmar Ltd.,AWL,Personal Products,NSE,India
Aditya Birla Capital Ltd.,ABCAPITAL,Finance & Investments,NSE,India
Aditya Birla Fashion and Retail Ltd.,ABFRL,Retailing,NSE,India
Aditya Birla Money Ltd.,BIRLAMONEY,Restaurants & Bars,NSE,India
Aditya Birla Sun Life AMC Ltd.,ABSLAMC,Asset Management,NSE,India
Ador Welding Ltd.,ADORWELD,"Industrial Machinery, Equipment & Goods",NSE,India
Adroit Infotech Ltd.,ADROITINFO,Entertainment Production,NSE,India
Advanced Enzyme Technologies Ltd.,ADVENZYMES,Speciality Chemicals,NSE,India
Advani Hotels & Resorts (India) Ltd.,ADVANIHOTR,Hotels,NSE,India
Aegis Logistics Ltd.,AEGISCHEM,Gas Distribution,NSE,India
Aeroflex Industries Ltd.,AEROFLEX,Iron & Steel,NSE,India
Aether Industries Ltd.,AETHER,Speciality Chemicals,NSE,India
Affle (India) Ltd.,AFFLE,Advertising,NSE,India
Agarwal Industrial Corporation Ltd.,AGARIND,Petrochemicals,NSE,India
Agri-Tech (India) Ltd.,AGRITECH,Agro Products,NSE,India
Agro Phos India Ltd.,AGROPHOS,Agro Chemicals & Fertilizers,NSE,India
Agro Tech Foods Ltd.,ATFL,Edible Oils & Solvent Extraction,NSE,India
Ahlada Engineers Ltd.,AHLADA,Home Furnishing,NSE,India
