name,symbol,sector,exchange,country
ATA Creativity Global American Depositary Shares,AACG,Real Estate,NASDAQ,China
Armada Acquisition Corp. I ,AACI,Finance,NASDAQ,United States
Armada Acquisition Corp. I Warrant,AACIW,Finance,NASDAQ,United States
Aadi Bioscience Inc. ,AADI,Health Care,NASDAQ,United States
American Airlines Group Inc. ,AAL,Consumer Discretionary,NASDAQ,United States
Atlantic American Corporation ,AAME,Finance,NASDAQ,United States
Applied Optoelectronics Inc. ,AAOI,Technology,NASDAQ,United States
AAON Inc. ,AAON,Industrials,NASDAQ,United States
Apple Inc. ,AAPL,Technology,NASDAQ,United States
American Battery Technology Company ,ABAT,Basic Materials,NASDAQ,United States
Ameris Bancorp ,ABCB,Finance,NASDAQ,United States
AbCellera Biologics Inc. Common Shares,ABCL,Health Care,NASDAQ,Canada
Abcam plc American Depositary Shares,ABCM,Health Care,NASDAQ,United Kingdom
Abeona Therapeutics Inc. ,ABEO,Health Care,NASDAQ,United States
ARCA biopharma Inc. ,ABIO,Health Care,NASDAQ,United States
Abacus Life Inc. Class A ,ABL,Finance,NASDAQ,United States
Abacus Life Inc. 9.875% Fixed Rate Senior Notes due 2028,ABLLL,,NASDAQ,United States
Abacus Life Inc. Warrant,ABLLW,Finance,NASDAQ,United States
Able View Global Inc. Class B Ordinary Shares,ABLV,,NASDAQ,China
Airbnb Inc. Class A ,ABNB,Consumer Discretionary,NASDAQ,United States
Acumen Pharmaceuticals Inc. ,ABOS,Health Care,NASDAQ,United States
Absci Corporation ,ABSI,Health Care,NASDAQ,United States
Abits Group Inc Ordinary Shares,ABTS,Technology,NASDAQ,China
Arbutus Biopharma Corporation ,ABUS,Health Care,NASDAQ,Canada
ABVC BioPharma Inc. ,ABVC,Health Care,NASDAQ,United States
Abivax SA American Depositary Shares,ABVX,,NASDAQ,France
Atlantic Coastal Acquisition Corp. II Class A ,ACAB,Finance,NASDAQ,United States
Atlantic Coastal Acquisition Corp. II Warrant,ACABW,Finance,NASDAQ,United States
Acri Capital Acquisition Corporation Class A ,ACAC,Finance,NASDAQ,United States
Acri Capital Acquisition Corporation Unit,ACACU,Finance,NASDAQ,United States
Acri Capital Acquisition Corporation Warrant,ACACW,Finance,NASDAQ,United States
ACADIA Pharmaceuticals Inc. ,ACAD,Health Care,NASDAQ,United States
Atlantic Coastal Acquisition Corp. Class A ,ACAH,Finance,NASDAQ,United States
Atlantic Coastal Acquisition Corp. Unit,ACAHU,Finance,NASDAQ,United States
Atlantic Coastal Acquisition Corp. Warrant,ACAHW,Finance,NASDAQ,United States
Alset Capital Acquisition Corp. Class A ,ACAX,Health Care,NASDAQ,United States
Alset Capital Acquisition Corp. Right,ACAXR,Health Care,NASDAQ,United States
Aurora Cannabis Inc. Common Shares,ACB,Health Care,NASDAQ,Canada
Ace Global Business Acquisition Limited Ordinary Shares,ACBA,Consumer Discretionary,NASDAQ,Hong Kong
Accolade Inc. ,ACCD,Consumer Discretionary,NASDAQ,United States
ProFrac Holding Corp. Class A ,ACDC,Energy,NASDAQ,United States
Adicet Bio Inc.  ,ACET,Health Care,NASDAQ,United States
Arch Capital Group Ltd. ,ACGL,Finance,NASDAQ,Bermuda
Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,ACGLN,Finance,NASDAQ,Bermuda
Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,ACGLO,Finance,NASDAQ,Bermuda
Acadia Healthcare Company Inc. ,ACHC,Health Care,NASDAQ,United States
Achilles Therapeutics plc American Depositary Shares,ACHL,Health Care,NASDAQ,United Kingdom
Achieve Life Sciences Inc. Common Shares,ACHV,Health Care,NASDAQ,United States
American Coastal Insurance Corporation ,ACIC,Finance,NASDAQ,United States
AC Immune SA ,ACIU,Health Care,NASDAQ,Switzerland
ACI Worldwide Inc. ,ACIW,Technology,NASDAQ,United States
Axcelis Technologies Inc. ,ACLS,Technology,NASDAQ,United States
Arcellx Inc. ,ACLX,Health Care,NASDAQ,United States
ACM Research Inc. Class A ,ACMR,Technology,NASDAQ,United States
ACNB Corporation ,ACNB,Finance,NASDAQ,United States
Ascent Industries Co. ,ACNT,Industrials,NASDAQ,United States
Aclarion Inc. ,ACON,Technology,NASDAQ,United States
Acorda Therapeutics Inc. ,ACOR,Health Care,NASDAQ,United States
Aclaris Therapeutics Inc. ,ACRS,Health Care,NASDAQ,United States
Acrivon Therapeutics Inc. ,ACRV,Health Care,NASDAQ,United States
AcelRx Pharmaceuticals Inc. ,ACRX,Health Care,NASDAQ,United States
Acasti Pharma Inc. Class A ,ACST,Health Care,NASDAQ,Canada
Enact Holdings Inc. ,ACT,Finance,NASDAQ,United States
Acacia Research Corporation (Acacia Tech) ,ACTG,Miscellaneous,NASDAQ,United States
ACV Auctions Inc. Class A ,ACVA,Consumer Discretionary,NASDAQ,United States
Acurx Pharmaceuticals Inc. ,ACXP,Health Care,NASDAQ,United States
Adagene Inc. American Depositary Shares,ADAG,Health Care,NASDAQ,China
Adaptimmune Therapeutics plc American Depositary Shares,ADAP,Health Care,NASDAQ,United Kingdom
Adobe Inc. ,ADBE,Technology,NASDAQ,United States
Color Star Technology Co. Ltd. Class A Ordinary Shares,ADD,Consumer Discretionary,NASDAQ,United States
Adeia Inc. ,ADEA,Technology,NASDAQ,United States
Advanced Emissions Solutions Inc. ,ADES,Industrials,NASDAQ,United States
Analog Devices Inc. ,ADI,Technology,NASDAQ,United States
Adial Pharmaceuticals Inc ,ADIL,Health Care,NASDAQ,United States
ADMA Biologics Inc ,ADMA,Health Care,NASDAQ,United States
Advent Technologies Holdings Inc. Class A ,ADN,Miscellaneous,NASDAQ,United States
Advent Technologies Holdings Inc. Warrant,ADNWW,Utilities,NASDAQ,United States
Edoc Acquisition Corp. Class A Ordinary Share,ADOC,Health Care,NASDAQ,United States
Edoc Acquisition Corp. Right,ADOCR,Health Care,NASDAQ,United States
Edoc Acquisition Corp. Warrant,ADOCW,Health Care,NASDAQ,United States
Automatic Data Processing Inc. ,ADP,Technology,NASDAQ,United States
Adaptive Biotechnologies Corporation ,ADPT,Health Care,NASDAQ,United States
ADS-TEC ENERGY PLC Ordinary Shares,ADSE,Consumer Discretionary,NASDAQ,Ireland
ADS-TEC ENERGY PLC Warrant,ADSEW,Consumer Discretionary,NASDAQ,Ireland
Autodesk Inc. ,ADSK,Technology,NASDAQ,United States
AdTheorent Holding Company Inc. ,ADTH,Consumer Discretionary,NASDAQ,United States
ADTRAN Holdings Inc. ,ADTN,Telecommunications,NASDAQ,United States
Aditxt Inc. ,ADTX,Health Care,NASDAQ,United States
Addus HomeCare Corporation ,ADUS,Health Care,NASDAQ,United States
Advantage Solutions Inc. Class A ,ADV,Consumer Discretionary,NASDAQ,United States
Adverum Biotechnologies Inc. ,ADVM,Health Care,NASDAQ,United States
Advantage Solutions Inc. Warrant,ADVWW,Consumer Discretionary,NASDAQ,United States
Addex Therapeutics Ltd American Depositary Shares,ADXN,Health Care,NASDAQ,Switzerland
AltEnergy Acquisition Corp. Class A ,AEAE,Finance,NASDAQ,United States
AltEnergy Acquisition Corp. Warrant,AEAEW,Finance,NASDAQ,United States
Antelope Enterprise Holdings Limited Class A Ordinary Shares,AEHL,Industrials,NASDAQ,China
Aehr Test Systems ,AEHR,Industrials,NASDAQ,United States
Alset Inc.  (TX),AEI,Real Estate,NASDAQ,United States
Advanced Energy Industries Inc. ,AEIS,Technology,NASDAQ,United States
Aethlon Medical Inc. ,AEMD,Miscellaneous,NASDAQ,United States
Alliance Entertainment Holding Corporation Class A ,AENT,Consumer Discretionary,NASDAQ,United States
Alliance Entertainment Holding Corporation Warrants,AENTW,Consumer Discretionary,NASDAQ,United States
American Electric Power Company Inc. ,AEP,Utilities,NASDAQ,United States
Aeries Technology Inc. Class A Ordinary Share,AERT,Basic Materials,NASDAQ,United States
Aeries Technology Inc. Warrant,AERTW,Finance,NASDAQ,United States
ADDvantage Technologies Group Inc. ,AEY,Industrials,NASDAQ,United States
AudioEye Inc. ,AEYE,Technology,NASDAQ,United States
Aeterna Zentaris Inc. ,AEZS,Health Care,NASDAQ,Canada
Aura FAT Projects Acquisition Corp Class A Ordinary Shares,AFAR,Finance,NASDAQ,Singapore
Affinity Bancshares Inc.  (MD),AFBI,Finance,NASDAQ,United States
AFC Gamma Inc. ,AFCG,Real Estate,NASDAQ,United States
Acutus Medical Inc. ,AFIB,Health Care,NASDAQ,United States
Aimei Health Technology Co. Ltd Unit,AFJKU,,NASDAQ,United States
Affimed N.V.,AFMD,Health Care,NASDAQ,Germany
Forafric Global PLC Ordinary Shares,AFRI,Consumer Staples,NASDAQ,Gibraltar
Forafric Global PLC Warrants,AFRIW,Consumer Staples,NASDAQ,Gibraltar
Affirm Holdings Inc. Class A ,AFRM,Consumer Discretionary,NASDAQ,United States
Afya Limited Class A Common Shares,AFYA,Real Estate,NASDAQ,Brazil
Allied Gaming & Entertainment Inc. ,AGAE,Consumer Discretionary,NASDAQ,United States
AGBA Group Holding Limited Ordinary Share,AGBA,Finance,NASDAQ,Hong Kong
AGBA Group Holding Limited Warrant,AGBAW,Finance,NASDAQ,Hong Kong
Agenus Inc. ,AGEN,Health Care,NASDAQ,United States
Agrify Corporation ,AGFY,Consumer Discretionary,NASDAQ,United States
Agios Pharmaceuticals Inc. ,AGIO,Health Care,NASDAQ,United States
AGM Group Holdings Inc. Class A Ordinary Shares,AGMH,Technology,NASDAQ,Hong Kong
AGNC Investment Corp. ,AGNC,Real Estate,NASDAQ,United States
AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock,AGNCL,Real Estate,NASDAQ,United States
AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,AGNCM,Real Estate,NASDAQ,United States
AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,AGNCN,Real Estate,NASDAQ,United States
AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,AGNCO,Real Estate,NASDAQ,United States
